employee_id,age,gender,department,job_role,monthly_income,years_at_company,work_life_balance,job_satisfaction,overtime,performance_rating,attrition
87904,19,Male,Admin,Accountant,15650,22,3,4,No,4,No
27114,54,Female,IT,Manager,15400,25,3,2,No,5,No
94203,18,Female,HR,HR Executive,15216,11,3,1,Yes,5,No
86134,43,Female,HR,Team Lead,15341,7,3,1,No,5,No
46576,41,Male,Admin,Accountant,15051,37,1,1,No,5,Yes
76458,56,Female,HR,Sales Executive,15398,22,2,4,No,3,Yes
55266,54,Male,HR,Recruiter,15931,37,4,2,No,3,No
16514,29,Female,HR,Data Analyst,15017,9,3,2,No,1,No
92955,21,Female,HR,HR Executive,16172,5,1,3,No,2,No
47866,43,Male,Operations,Accountant,16339,22,1,4,Yes,1,No
96904,50,Female,IT,Recruiter,5000,19,2,3,Yes,4,Yes
56416,41,Male,Finance,Recruiter,16285,16,2,4,No,5,Yes
18695,59,Female,HR,Recruiter,16341,35,4,4,Yes,5,Yes
43786,36,Female,Sales,Manager,16003,17,1,4,No,1,No
58890,48,Female,IT,Software Engineer,16027,37,2,3,Yes,3,No
21662,53,Female,Marketing,Recruiter,15837,7,4,2,Yes,3,No
24439,21,Male,Operations,Sales Executive,15545,6,3,4,Yes,2,No
40822,55,Female,Finance,Software Engineer,16368,16,3,1,Yes,5,No
71918,57,Male,Sales,Business Analyst,15706,28,2,4,Yes,3,Yes
45941,27,Male,Admin,HR Executive,15092,40,4,2,No,2,Yes
53635,43,Male,HR,Manager,16277,32,4,3,Yes,1,No
1252,37,Female,HR,Team Lead,15823,21,2,4,Yes,4,No
23348,20,Male,HR,Team Lead,16051,11,2,4,No,4,No
90978,44,Female,Operations,Business Analyst,5000,12,3,3,Yes,5,No
32347,28,Female,IT,Team Lead,5000,33,2,3,No,4,Yes
98034,43,Male,HR,Manager,15924,33,1,3,Yes,1,No
46830,22,Female,Admin,Accountant,15046,21,1,1,Yes,5,No
32849,33,Male,Admin,Sales Executive,5000,38,3,4,Yes,4,No
5276,28,Male,HR,Manager,15361,4,3,1,Yes,2,No
6873,46,Female,HR,Manager,16031,0,1,4,No,1,No
15798,48,Female,Operations,Sales Executive,15132,12,3,1,No,5,No
11643,26,Male,Admin,Recruiter,15059,37,3,2,No,1,No
99647,37,Male,IT,Software Engineer,16350,8,3,2,No,5,No
15867,35,Male,HR,Recruiter,5000,38,2,3,Yes,3,No
44530,21,Female,Finance,Manager,16225,8,1,3,Yes,4,No
2477,26,Male,Marketing,Recruiter,5000,12,2,4,No,2,No
86513,51,Male,Admin,HR Executive,15892,8,1,4,Yes,3,Yes
42015,18,Male,HR,Accountant,5000,16,3,3,Yes,2,No
56374,39,Male,HR,Manager,15262,40,3,3,No,4,Yes
8134,24,Female,HR,HR Executive,15927,10,3,2,Yes,1,No
28315,36,Male,Finance,Accountant,16270,0,2,2,Yes,2,No
18731,39,Male,HR,Business Analyst,15539,17,3,3,No,1,No
51735,52,Female,Finance,HR Executive,16322,25,1,1,Yes,3,Yes
18263,33,Female,Operations,Sales Executive,5000,17,1,1,Yes,1,No
89276,52,Male,Sales,Business Analyst,15350,1,4,3,No,1,No
55202,38,Female,Operations,HR Executive,15893,14,3,1,No,4,No
64689,53,Male,HR,Recruiter,15317,37,4,1,No,3,No
55982,56,Female,HR,Manager,16361,34,4,4,Yes,2,Yes
19162,38,Female,Sales,Team Lead,15921,12,4,2,No,5,No
47672,56,Male,Marketing,Business Analyst,15002,14,2,2,Yes,5,Yes
39545,37,Male,Finance,Software Engineer,16304,19,3,1,No,5,No
74751,21,Male,Finance,Team Lead,15850,17,1,4,Yes,3,No
39409,57,Male,Operations,Software Engineer,15207,0,2,4,No,1,No
84344,21,Female,Admin,HR Executive,16094,39,3,2,Yes,4,Yes
52049,43,Female,Admin,Manager,15146,31,1,4,No,3,No
71629,51,Male,Finance,Business Analyst,15543,26,4,1,Yes,2,No
6805,60,Female,Operations,Data Analyst,15476,14,4,3,No,1,No
98947,46,Male,Sales,Accountant,15161,39,2,2,No,2,No
44108,54,Female,Admin,Data Analyst,16017,28,1,2,Yes,2,No
25046,30,Male,Sales,Software Engineer,15070,30,4,4,Yes,1,No
82239,36,Male,Operations,Accountant,15817,4,2,1,Yes,4,No
24727,54,Female,IT,Software Engineer,16283,17,2,4,No,4,No
22944,41,Male,Sales,Accountant,15041,31,1,1,Yes,5,No
94097,22,Female,HR,Accountant,5000,2,4,2,Yes,3,No
57209,28,Female,Marketing,Sales Executive,15147,23,1,3,No,5,No
95226,28,Female,Operations,Sales Executive,15523,24,2,1,No,2,No
54807,37,Female,Admin,Manager,16382,18,4,3,Yes,2,No
58974,52,Female,HR,Software Engineer,16083,22,2,1,Yes,2,No
9978,31,Female,HR,Team Lead,15886,31,4,1,Yes,4,No
38536,51,Female,HR,Sales Executive,15361,5,3,2,No,4,No
5921,29,Male,Operations,Data Analyst,15596,29,1,3,Yes,1,Yes
34396,30,Female,Finance,Data Analyst,16144,24,3,3,No,3,No
56250,46,Male,HR,Accountant,15723,9,2,4,Yes,3,No
37661,23,Male,Marketing,Sales Executive,16265,26,3,4,No,4,No
93091,40,Male,HR,Software Engineer,15599,11,2,1,No,3,No
5517,20,Male,HR,Sales Executive,5000,32,4,4,No,4,No
46699,56,Male,Operations,Accountant,16256,13,4,3,No,3,No
48771,20,Female,HR,Sales Executive,15525,31,2,2,Yes,4,No
49206,58,Female,HR,Manager,15774,24,4,2,Yes,3,No
79240,47,Male,Finance,Manager,15257,33,4,4,No,3,Yes
71526,39,Female,Operations,Software Engineer,15287,18,4,4,No,2,Yes
66918,56,Female,Sales,Accountant,15829,12,3,1,No,1,No
70984,54,Female,Marketing,Accountant,15663,25,2,2,Yes,2,Yes
41819,54,Male,Operations,Software Engineer,15210,10,1,3,No,3,Yes
51661,18,Male,Admin,Sales Executive,15492,5,1,2,Yes,2,No
85127,41,Female,IT,Business Analyst,15517,0,1,1,No,5,Yes
1938,29,Male,HR,Software Engineer,5000,0,1,1,Yes,3,No
77347,51,Male,Marketing,HR Executive,15136,27,2,4,Yes,1,No
73236,57,Male,Operations,Accountant,5000,34,2,3,No,2,No
63362,29,Female,Finance,Manager,16103,35,1,4,No,2,No
61634,38,Female,HR,Manager,15037,10,3,4,Yes,3,No
65618,47,Male,Marketing,Software Engineer,16180,15,2,2,No,4,No
85423,58,Female,Marketing,Business Analyst,15402,24,2,1,No,3,No
15887,37,Female,HR,Manager,15647,18,1,2,No,4,No
23249,30,Male,Operations,HR Executive,15069,39,3,3,No,2,Yes
23373,37,Female,Operations,Accountant,5000,11,2,4,No,1,No
64217,43,Male,Admin,Software Engineer,15442,16,1,2,Yes,5,No
8528,50,Male,HR,Accountant,16190,33,2,1,Yes,4,No
4613,42,Male,IT,Team Lead,5000,31,4,4,Yes,4,No
48573,20,Male,HR,Accountant,16180,10,1,2,Yes,3,No
55171,19,Female,HR,Team Lead,15823,29,3,1,No,1,No
34170,23,Male,Sales,HR Executive,16271,17,4,4,Yes,3,No
85109,43,Female,IT,Data Analyst,15850,9,1,4,Yes,1,Yes
98199,19,Male,Marketing,Accountant,15783,4,4,1,Yes,3,No
72909,18,Male,HR,Manager,15999,12,4,3,Yes,1,No
85852,48,Male,IT,Team Lead,15355,32,3,1,No,1,No
72896,28,Female,Finance,Recruiter,15882,21,4,3,Yes,5,No
71327,20,Male,HR,Sales Executive,16336,23,3,1,No,1,No
54501,58,Male,HR,Data Analyst,15334,12,1,3,No,1,No
87348,60,Male,Admin,Data Analyst,16209,27,2,3,No,4,No
12697,40,Female,IT,HR Executive,16326,13,4,2,No,3,No
64678,54,Male,Sales,Business Analyst,15263,37,4,3,Yes,5,No
59339,32,Female,Admin,Business Analyst,16197,13,1,1,Yes,4,No
5878,60,Female,HR,Data Analyst,5000,37,4,1,Yes,1,No
27518,22,Male,HR,Data Analyst,15176,36,1,1,No,1,No
73361,53,Female,HR,Accountant,15463,34,3,2,No,4,Yes
59536,34,Male,Sales,Team Lead,16022,20,2,2,Yes,3,Yes
50882,36,Male,Sales,Sales Executive,5000,30,2,2,Yes,3,No
71850,50,Male,Sales,Team Lead,15010,26,4,1,Yes,4,No
51632,34,Female,Finance,Business Analyst,16132,18,2,1,No,1,No
78061,41,Female,Admin,Data Analyst,15011,40,3,3,No,3,No
29147,39,Female,HR,Manager,5000,15,1,4,Yes,1,No
7135,33,Male,HR,Software Engineer,5000,18,1,4,Yes,3,Yes
80578,50,Female,HR,Software Engineer,15525,32,3,4,Yes,2,No
24114,33,Female,HR,Team Lead,16314,16,4,2,Yes,3,No
32512,51,Male,Operations,Manager,15571,38,1,2,Yes,2,No
99495,29,Female,IT,Sales Executive,15694,39,1,4,Yes,1,No
11374,29,Female,HR,Recruiter,15149,13,3,1,Yes,5,No
99264,24,Female,Marketing,Business Analyst,15727,5,1,3,Yes,4,No
58199,28,Male,HR,Accountant,15333,7,3,3,No,2,No
43145,18,Male,Finance,Sales Executive,15295,27,1,4,Yes,1,No
6485,52,Male,Marketing,Software Engineer,15346,11,4,3,Yes,4,No
59031,58,Female,HR,Manager,15247,22,2,3,Yes,2,No
40243,60,Male,HR,Sales Executive,16175,11,1,4,Yes,1,No
56485,31,Male,Marketing,Business Analyst,15954,15,2,3,No,2,No
93221,22,Male,Finance,HR Executive,15248,38,4,2,No,1,No
3680,41,Male,HR,Software Engineer,15926,27,4,1,Yes,4,No
37737,36,Female,Operations,Data Analyst,16010,30,3,3,No,2,No
78860,32,Male,Marketing,Sales Executive,15693,16,4,1,Yes,5,No
30205,43,Male,HR,Data Analyst,16167,18,1,1,Yes,3,No
87177,47,Female,Operations,Team Lead,15052,33,3,3,Yes,2,No
30868,22,Female,HR,Data Analyst,15332,10,4,3,No,5,Yes
56570,46,Female,Finance,Business Analyst,15332,33,1,3,No,2,Yes
33199,52,Male,IT,Team Lead,15704,9,4,3,No,4,No
31635,57,Male,HR,Manager,15073,24,4,3,No,2,No
65402,58,Female,Finance,HR Executive,15269,28,3,3,No,1,No
25160,58,Male,HR,HR Executive,15202,19,1,1,No,2,No
8638,40,Female,Sales,Software Engineer,15708,26,2,4,No,5,No
80522,49,Male,Marketing,Recruiter,15497,11,2,1,Yes,4,No
86423,27,Female,HR,Business Analyst,15367,23,1,2,Yes,3,No
59100,35,Female,HR,Recruiter,15233,9,2,1,Yes,3,No
48013,35,Male,HR,Team Lead,15413,8,4,2,No,3,Yes
30340,58,Male,Admin,Sales Executive,15189,31,3,2,No,5,Yes
28691,51,Female,HR,Accountant,15285,17,1,3,No,4,No
64868,42,Male,HR,Accountant,15217,19,1,4,Yes,2,No
61529,23,Male,IT,Accountant,15120,3,3,1,No,1,Yes
35769,20,Female,Admin,Accountant,15745,29,2,4,Yes,2,No
93685,58,Male,HR,HR Executive,5000,8,3,1,Yes,4,No
25385,32,Male,Admin,Team Lead,16034,30,1,4,No,4,No
88405,56,Female,Sales,Recruiter,15620,34,1,1,No,1,No
73306,31,Female,HR,Business Analyst,15246,15,3,1,Yes,1,No
31158,36,Female,Marketing,Sales Executive,15617,22,4,3,Yes,2,No
9461,23,Female,HR,HR Executive,15465,0,3,3,No,1,Yes
16058,55,Male,Admin,Business Analyst,5000,6,1,4,No,2,No
51063,23,Female,HR,HR Executive,16248,28,1,3,Yes,2,No
81696,30,Male,IT,Team Lead,15809,26,1,1,No,5,Yes
49296,52,Male,Finance,Team Lead,16215,29,4,1,No,2,No
97057,52,Male,HR,Accountant,15282,37,4,3,No,2,No
20050,19,Male,HR,Sales Executive,16195,24,1,1,Yes,2,Yes
84072,56,Male,HR,HR Executive,16302,0,3,3,Yes,1,Yes
16000,52,Male,HR,Manager,16102,8,2,1,Yes,2,No
81037,47,Male,Marketing,Data Analyst,15803,40,1,3,No,3,No
79757,36,Male,HR,Business Analyst,16050,35,4,3,No,3,No
77143,38,Female,IT,Data Analyst,16312,33,1,4,No,3,No
93243,38,Male,HR,Accountant,15999,22,2,2,Yes,1,No
91740,59,Male,Sales,Manager,5000,26,2,3,Yes,4,No
44796,22,Male,HR,Recruiter,16216,1,1,1,Yes,3,No
68646,48,Female,HR,Sales Executive,16304,6,4,1,No,3,No
25534,22,Female,Admin,Manager,15381,17,4,3,No,2,No
18692,56,Female,HR,Software Engineer,16380,27,3,2,Yes,1,No
96346,18,Male,HR,Data Analyst,15812,12,3,3,Yes,1,No
91122,29,Female,Finance,Business Analyst,15756,23,2,1,No,2,No
39267,44,Male,Sales,Sales Executive,15137,28,3,2,No,5,No
53573,43,Male,IT,Manager,15983,35,2,1,Yes,4,Yes
56507,43,Female,IT,Sales Executive,15170,20,3,3,Yes,4,No
10605,22,Male,HR,Business Analyst,15853,40,4,2,Yes,1,No
61103,36,Female,HR,Sales Executive,16149,22,3,3,Yes,5,No
51385,29,Male,Sales,HR Executive,15030,11,1,3,No,1,Yes
21291,45,Female,Sales,Software Engineer,5000,37,2,4,Yes,3,Yes
83988,46,Female,Finance,Team Lead,16354,10,2,4,Yes,5,No
33719,33,Female,HR,Business Analyst,15739,13,3,4,No,1,No
99759,40,Female,Marketing,Manager,15326,5,3,3,Yes,5,No
96449,40,Male,IT,Sales Executive,16187,13,4,2,Yes,3,Yes
42353,49,Female,HR,Software Engineer,15925,35,2,3,No,4,No
48035,36,Female,Marketing,Team Lead,16245,8,1,4,Yes,2,No
96146,41,Male,HR,Accountant,15980,14,1,4,No,3,No
25948,28,Male,IT,Accountant,15825,27,4,3,Yes,5,No
94529,22,Male,HR,Data Analyst,15178,15,1,1,No,2,No
31844,58,Male,Operations,Manager,16264,34,2,2,Yes,4,No
51047,39,Male,IT,Software Engineer,16248,37,3,2,Yes,1,Yes
51127,25,Female,Operations,Data Analyst,15828,18,3,4,Yes,3,No
12970,50,Male,Operations,Team Lead,15944,28,2,2,No,5,No
22922,37,Male,HR,Data Analyst,16241,39,4,4,Yes,2,No
81873,60,Male,Admin,Accountant,16096,31,2,4,Yes,5,No
66570,20,Female,Admin,Recruiter,5000,38,3,1,Yes,4,No
99903,58,Male,Operations,Team Lead,15307,16,2,3,Yes,4,No
34180,39,Male,Marketing,Manager,15447,12,1,1,Yes,3,No
32146,45,Male,HR,Data Analyst,15480,31,3,1,Yes,3,No
18208,60,Male,HR,Manager,15661,9,1,4,Yes,4,No
92318,48,Female,HR,Data Analyst,15335,2,2,1,Yes,1,No
51448,58,Male,Operations,Data Analyst,15591,36,1,3,Yes,2,No
24057,54,Male,Sales,HR Executive,16152,20,3,3,No,1,No
8633,54,Female,HR,Accountant,15123,29,1,1,Yes,2,No
13790,59,Female,HR,Business Analyst,15577,35,1,3,Yes,5,No
15693,46,Female,HR,Sales Executive,15024,6,4,4,No,3,No
48308,35,Female,Finance,Accountant,16126,25,3,4,Yes,4,No
94812,47,Male,Operations,Sales Executive,16363,32,3,4,Yes,5,No
76257,49,Female,HR,Software Engineer,15191,17,4,2,Yes,4,Yes
52845,21,Female,Marketing,Team Lead,15667,15,3,4,No,2,No
63596,26,Female,Operations,Software Engineer,15128,7,4,4,Yes,5,No
70404,37,Male,Operations,Recruiter,15889,35,2,3,Yes,5,No
75318,35,Male,Admin,HR Executive,16100,9,1,1,No,5,No
12585,31,Female,Finance,HR Executive,16018,25,4,1,Yes,4,No
19057,46,Female,IT,Software Engineer,16262,0,3,4,No,1,Yes
66376,50,Male,HR,Data Analyst,15888,3,3,3,No,1,Yes
78780,57,Female,Marketing,HR Executive,15140,15,2,1,No,4,No
62511,51,Male,HR,Business Analyst,16262,33,4,3,Yes,3,No
13929,59,Male,Operations,Team Lead,15393,34,4,4,Yes,2,No
12991,22,Male,Sales,Data Analyst,5000,16,1,4,Yes,5,Yes
10928,56,Female,Finance,Recruiter,15994,28,1,1,Yes,4,Yes
6376,43,Male,Finance,Data Analyst,15575,22,3,3,No,3,Yes
13259,53,Male,Finance,Recruiter,15741,23,3,3,Yes,2,No
23356,60,Male,Operations,Business Analyst,15829,16,2,1,No,3,No
13769,23,Male,IT,Business Analyst,15105,40,4,1,Yes,5,No
21469,28,Male,Operations,Manager,15512,27,3,4,No,1,No
68166,56,Female,IT,Business Analyst,15536,12,2,4,No,2,No
11057,42,Male,Marketing,Business Analyst,15838,34,3,4,Yes,5,No
71792,44,Female,HR,Sales Executive,15306,22,3,4,Yes,1,Yes
24876,18,Male,HR,Accountant,15253,37,2,3,No,3,No
99364,47,Male,IT,Business Analyst,16139,6,2,4,No,5,No
22477,30,Male,Sales,Team Lead,16241,32,4,1,No,2,No
7619,29,Male,HR,Team Lead,15523,33,2,2,No,5,Yes
69657,22,Female,Finance,Business Analyst,15867,30,2,4,No,4,No
93231,51,Female,Finance,HR Executive,16352,35,1,1,Yes,3,No
9058,48,Female,HR,Software Engineer,16262,23,2,2,No,2,No
21438,30,Female,Finance,Business Analyst,15786,14,3,1,Yes,5,Yes
98704,55,Male,Marketing,Data Analyst,16244,15,2,1,No,1,No
23632,58,Female,IT,Team Lead,15469,10,3,3,No,5,No
40932,32,Male,Operations,Software Engineer,15818,25,4,4,No,2,No
49854,58,Female,Sales,Business Analyst,16374,40,1,2,No,4,No
99511,42,Male,Marketing,Team Lead,15082,33,3,4,No,5,Yes
64814,45,Female,HR,Sales Executive,15683,24,2,3,Yes,4,No
35664,37,Male,Operations,Team Lead,15315,29,4,1,Yes,4,No
10476,21,Male,Sales,Sales Executive,15325,26,2,1,Yes,4,Yes
51681,18,Female,Finance,Software Engineer,16155,14,3,1,No,2,Yes
65795,31,Female,Sales,Sales Executive,15285,25,4,2,Yes,4,No
23791,45,Male,Marketing,Recruiter,15015,22,1,3,No,3,No
47594,39,Female,Finance,Manager,15748,25,4,1,Yes,2,Yes
20761,26,Male,HR,HR Executive,15006,4,1,2,Yes,1,No
81411,54,Male,HR,Manager,15395,25,2,2,Yes,4,No
18230,33,Male,HR,Sales Executive,15028,14,3,4,Yes,4,No
90951,50,Female,IT,Data Analyst,15554,35,2,4,Yes,5,No
64586,36,Female,Operations,Recruiter,5000,4,3,3,Yes,4,Yes
97936,18,Male,Admin,Recruiter,16110,27,4,2,No,2,No
61216,38,Male,HR,Data Analyst,16059,30,1,3,Yes,1,No
3687,59,Male,Marketing,Accountant,15613,28,2,2,No,1,No
15607,51,Female,Operations,HR Executive,15700,7,4,3,No,5,Yes
93735,40,Female,Finance,Business Analyst,16125,1,3,3,Yes,4,No
97829,55,Male,Admin,Sales Executive,15201,26,3,4,No,5,No
31644,52,Female,Finance,Business Analyst,16181,28,2,4,No,3,No
31252,36,Female,Sales,Manager,15407,4,4,2,No,5,No
70658,50,Male,Marketing,Team Lead,16340,18,2,2,No,5,No
78036,29,Male,HR,Software Engineer,16373,31,1,3,No,5,No
40746,32,Male,HR,Data Analyst,15965,31,4,3,Yes,2,No
49514,44,Female,HR,HR Executive,15621,37,3,3,No,4,No
54175,18,Female,Operations,Data Analyst,15277,33,2,2,Yes,3,No
28682,48,Male,HR,Manager,16191,9,1,1,Yes,2,No
8099,59,Female,HR,HR Executive,15208,28,2,1,Yes,2,No
16630,18,Female,HR,Software Engineer,5000,16,4,1,No,3,No
17945,24,Female,Finance,Manager,16314,19,4,4,No,4,Yes
33526,44,Male,IT,HR Executive,15821,18,2,1,Yes,5,Yes
31663,27,Female,HR,Team Lead,16022,19,3,1,No,3,No
21650,57,Female,Finance,Data Analyst,5000,20,1,4,No,2,No
62878,34,Male,Finance,Accountant,15472,38,2,2,No,1,No
98110,41,Female,HR,Sales Executive,15537,17,2,3,No,2,No
29322,20,Male,Finance,Data Analyst,15320,32,3,2,No,4,No
61791,20,Male,Operations,Manager,15407,28,2,4,Yes,2,No
73851,19,Male,Operations,Recruiter,15482,21,2,3,No,1,No
7697,40,Female,HR,HR Executive,15230,22,3,2,No,4,Yes
99484,49,Female,Finance,Manager,15564,4,4,4,Yes,4,No
24735,43,Male,Operations,Data Analyst,15334,31,1,2,No,3,Yes
5654,22,Male,Admin,Accountant,15573,9,1,1,No,2,No
59850,23,Male,HR,Accountant,15749,22,4,4,Yes,3,No
51463,29,Female,Marketing,Accountant,15819,8,4,4,No,2,Yes
49562,21,Male,Admin,Business Analyst,15122,25,2,2,No,3,No
83995,21,Female,HR,Sales Executive,15431,22,1,3,No,1,No
40230,51,Male,HR,Data Analyst,15511,21,3,2,No,3,No
56825,45,Male,HR,Data Analyst,15445,15,3,2,Yes,4,Yes
81485,58,Female,HR,Team Lead,15986,11,1,2,Yes,3,No
59450,42,Male,HR,Data Analyst,15551,15,2,3,Yes,4,No
35343,37,Female,HR,Recruiter,5000,18,3,3,Yes,2,No
56514,30,Male,Sales,Software Engineer,15277,5,3,2,Yes,2,No
11414,54,Male,Operations,Accountant,16236,2,2,4,Yes,4,No
43584,35,Female,Operations,Team Lead,15293,1,3,4,No,5,No
43706,32,Male,Operations,Manager,15030,9,2,1,Yes,4,No
25550,30,Female,Admin,Sales Executive,16232,16,3,1,Yes,3,No
72029,52,Female,Admin,Recruiter,15966,3,1,3,No,5,Yes
27539,40,Male,Sales,Accountant,16060,4,1,2,No,4,No
57663,23,Female,IT,Manager,15903,1,1,4,Yes,5,No
4306,29,Male,HR,Data Analyst,15855,12,3,4,No,2,No
71032,55,Female,Admin,Business Analyst,5000,29,4,3,No,4,No
31471,21,Male,HR,Team Lead,15668,12,4,1,No,3,No
50090,48,Female,Marketing,Business Analyst,15151,16,4,3,No,5,Yes
25648,33,Female,IT,Data Analyst,15030,21,1,2,No,2,No
40579,52,Male,HR,Software Engineer,5000,25,4,1,No,4,Yes
44808,32,Female,Sales,HR Executive,15244,24,4,4,Yes,3,No
16817,55,Male,Marketing,Software Engineer,16037,36,2,1,Yes,2,No
84824,47,Female,HR,Accountant,5000,27,4,3,No,2,No
51496,29,Male,Admin,Recruiter,15218,17,2,2,Yes,3,Yes
66137,30,Female,HR,Business Analyst,15875,27,2,4,Yes,4,Yes
59851,50,Female,Operations,Accountant,15662,29,3,2,Yes,1,No
87618,46,Female,HR,Manager,15231,11,4,3,No,1,No
61364,29,Female,Admin,Data Analyst,16031,27,2,2,Yes,1,No
77063,27,Female,Finance,Manager,16106,32,2,2,Yes,2,No
25076,27,Male,HR,Data Analyst,15527,33,2,1,Yes,2,Yes
3566,44,Female,Sales,Manager,15905,13,2,1,No,3,Yes
