Employee_ID,Age,Gender,Department,Job_Role,Monthly_Income,Years_At_Company,Work_Life_Balance,Job_Satisfaction,Overtime,Performance_Rating,Attrition
20967,37,F,Finance,Accountant,91127.0,31,4,4.0,No,4.0,No
51257,58,male,Operations,Team Lead,85728.0,2,4,1.0,Yes,4.0,No
63025,21,Male,Human Resources,Team Lead,20167.0,9,2,3.0,Yes,2.0,Yes
33842,57,Female,Human Resources,Business Analyst,64628.0,40,3,4.0,No,5.0,No
38129,57,F,Operations,Manager,105753.0,30,4,3.0,Yes,3.0,No
42283,40,M,Marketing,Software Engineer,140428.0,12,4,2.0,No,4.0,No
6079,27,M,HR,Sales Executive,30348.0,35,2,3.0,No,1.0,No
44094,29,female,Marketing,Business Analyst,17101.0,26,2,3.0,No,2.0,No
55452,22,M,HR,Data Analyst,31467.0,18,1,3.0,No,5.0,Yes
3097,37,M,Marketing,Data Analyst,70683.0,0,2,2.0,No,5.0,Yes
92081,35,F,HR,Accountant,199641.0,39,2,2.0,Yes,4.0,No
44616,60,Female,IT,Business Analyst,193185.0,14,4,1.0,No,1.0,No
99376,52,Male,IT,Software Engineer,113222.0,35,2,1.0,Yes,2.0,Yes
70582,57,M,HR,Recruiter,51951.0,8,1,3.0,No,3.0,Yes
95401,21,Female,IT,Sales Executive,87620.0,29,1,3.0,Yes,2.0,No
99263,24,male,Operations,HR Executive,172062.0,37,4,3.0,No,1.0,No
82094,40,female,Operations,Business Analyst,62385.0,21,4,4.0,Yes,3.0,No
50980,51,F,Sales,Software Engineer,56229.0,16,4,1.0,No,2.0,No
21725,46,Male,Human Resources,Data Analyst,123468.0,27,4,1.0,Yes,1.0,No
20372,32,male,Sales,HR Executive,113906.0,3,4,3.0,Yes,3.0,No
79091,31,Female,Finance,Software Engineer,136335.0,15,2,4.0,Yes,1.0,No
55956,48,Male,HR,Data Analyst,54949.0,19,1,1.0,No,2.0,No
68230,56,male,Marketing,Accountant,33282.0,14,4,3.0,No,3.0,No
51046,52,male,Admin,Manager,82793.0,11,1,3.0,No,1.0,No
2369,23,Male,HR,Sales Executive,68344.0,1,3,,Yes,4.0,No
97400,26,male,Operations,Data Analyst,188839.0,10,3,1.0,No,5.0,No
63252,56,male,IT,Data Analyst,48860.0,12,2,4.0,Yes,2.0,Yes
58606,27,Female,Sales,Data Analyst,160044.0,31,4,1.0,Yes,4.0,No
26774,28,Male,HR,Software Engineer,164223.0,16,1,3.0,Yes,1.0,No
48904,28,M,Human Resources,Business Analyst,19932.0,6,3,1.0,Yes,3.0,No
25420,31,M,human resources,Data Analyst,30673.0,32,2,2.0,No,,Yes
97079,24,female,HR,Business Analyst,145574.0,11,2,4.0,No,5.0,No
27735,53,Male,Operations,Business Analyst,50955.0,12,3,4.0,No,2.0,No
11031,60,M,human resources,Software Engineer,155512.0,21,2,3.0,No,4.0,No
99397,36,M,Human Resources,Business Analyst,157126.0,14,4,2.0,No,1.0,No
30037,49,Female,Finance,Sales Executive,30175.0,16,4,2.0,No,3.0,No
15060,59,M,HR,Software Engineer,106418.0,2,4,4.0,No,5.0,No
73538,59,Male,HR,Team Lead,197601.0,29,3,3.0,No,5.0,No
49985,50,M,human resources,Sales Executive,193479.0,31,1,,Yes,1.0,No
83568,59,F,Marketing,Manager,172014.0,22,1,2.0,Yes,3.0,No
90119,31,female,Human Resources,HR Executive,124474.0,23,4,2.0,Yes,4.0,Yes
85362,22,Male,Marketing,Manager,108783.0,37,1,2.0,No,2.0,No
25395,26,M,Human Resources,Data Analyst,109795.0,38,4,1.0,No,5.0,No
18308,55,female,HR,Accountant,32950.0,6,2,3.0,No,4.0,No
42762,23,male,human resources,Business Analyst,111967.0,26,2,3.0,No,1.0,No
26276,49,F,Finance,HR Executive,51777.0,30,3,3.0,Yes,3.0,No
35524,58,M,Sales,Sales Executive,45197.0,3,1,4.0,Yes,4.0,No
84813,46,M,Marketing,Data Analyst,151368.0,4,3,4.0,Yes,5.0,No
5571,43,Female,Marketing,Team Lead,90853.0,36,3,1.0,No,5.0,No
84906,24,F,Admin,Manager,171577.0,14,1,2.0,No,5.0,No
63613,20,F,HR,Accountant,49789.0,16,1,1.0,No,3.0,No
57366,48,F,Human Resources,Data Analyst,65829.0,33,1,4.0,No,1.0,No
94643,36,F,Sales,Manager,159358.0,32,2,4.0,No,3.0,No
3875,33,Male,Sales,Recruiter,69043.0,10,1,3.0,Yes,5.0,No
57966,18,F,Human Resources,Team Lead,53539.0,36,3,1.0,No,4.0,Yes
74909,44,M,HR,Sales Executive,154400.0,23,1,4.0,Yes,2.0,No
31564,46,M,HR,Recruiter,128980.0,32,1,4.0,Yes,4.0,No
1887,56,F,IT,Software Engineer,188987.0,29,3,2.0,Yes,5.0,No
57627,38,M,Admin,Recruiter,164286.0,2,4,1.0,Yes,4.0,No
39998,53,M,Marketing,Data Analyst,175796.0,7,2,1.0,No,5.0,No
63036,51,male,human resources,HR Executive,194191.0,31,3,2.0,Yes,3.0,Yes
43805,18,F,HR,Sales Executive,61964.0,18,1,2.0,Yes,3.0,No
26949,48,F,Operations,Manager,60169.0,5,1,2.0,Yes,5.0,No
99325,31,Female,Human Resources,Manager,135707.0,19,2,1.0,No,4.0,No
93570,31,Male,Human Resources,Sales Executive,115502.0,24,1,3.0,No,2.0,No
81186,20,female,Human Resources,Data Analyst,100746.0,19,3,3.0,Yes,2.0,No
93911,25,Male,IT,Accountant,161176.0,9,1,2.0,Yes,5.0,Yes
31769,29,female,Admin,Sales Executive,24727.0,17,3,2.0,No,3.0,No
32520,44,Female,IT,Data Analyst,131341.0,33,3,2.0,No,3.0,No
12402,42,Male,Human Resources,Business Analyst,91514.0,11,2,1.0,Yes,5.0,No
65512,38,Female,IT,Manager,63615.0,38,4,1.0,No,3.0,Yes
91808,36,male,Finance,Sales Executive,69127.0,17,1,3.0,No,3.0,Yes
42461,41,male,human resources,Recruiter,178484.0,3,3,2.0,Yes,5.0,No
23262,44,Male,Marketing,Recruiter,48313.0,8,3,4.0,No,2.0,Yes
49761,41,male,HR,Sales Executive,179508.0,40,1,3.0,No,4.0,No
20422,42,Male,Finance,Recruiter,186156.0,5,4,3.0,No,1.0,Yes
57078,57,female,Human Resources,Accountant,185972.0,29,1,1.0,No,1.0,Yes
36374,34,male,Human Resources,HR Executive,58590.0,6,4,4.0,No,1.0,Yes
86641,45,M,Finance,Software Engineer,120302.0,14,4,2.0,Yes,5.0,No
86459,46,F,HR,Business Analyst,120297.0,25,3,1.0,Yes,3.0,No
29927,30,M,human resources,Data Analyst,102950.0,18,1,4.0,No,5.0,No
31563,31,M,Admin,Accountant,105692.0,15,2,1.0,Yes,3.0,No
97983,53,male,Human Resources,Sales Executive,126442.0,11,2,2.0,No,3.0,No
71367,41,M,Marketing,Sales Executive,,2,3,4.0,Yes,5.0,Yes
78400,55,F,Marketing,Manager,184599.0,12,1,2.0,Yes,4.0,No
